Country	Country Code	Indicator Name	Indicator Code	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
Afghanistan	AFG	GDP per capita (current US$)	NY.GDP.PCAP.CD													179,426611	190,6838143	211,3821169	242,0312849	263,7336917	359,6932375	364,6607448	438,0760344	543,3030419	591,162759	641,8714792	637,1655232	613,8566892	578,4663529	547,2281102	556,3020024	524,162	502,1154869	
Angola	AGO	GDP per capita (current US$)	NY.GDP.PCAP.CD	947,7041821	865,6927296	656,361756	441,2006733	328,6732947	397,1794508	522,6438073	514,2952232	423,5936602	387,784316	556,8363181	527,3335285	872,4944916	982,9608993	1255,564045	1902,422346	2599,566464	3121,995637	4080,94141	3122,780766	3587,883798	4615,468028	5100,095808	5254,882338	5408,410496	4166,979684	3506,072885	4095,812942	3289,64	2973,59116	
Albania	ALB	GDP per capita (current US$)	NY.GDP.PCAP.CD	617,2304355	336,5869945	200,8522198	367,2792251	586,4163396	750,6044492	1009,977668	717,3805674	813,7902636	1033,241693	1126,683318	1281,659393	1425,124849	1846,118813	2373,579844	2673,787283	2972,743265	3595,037163	4370,540127	4114,140114	4094,350334	4437,142885	4247,629984	4413,060861	4578,631994	3952,801215	4124,055726	4531,020806	5284,38	5352,857411	
Argentina	ARG	GDP per capita (current US$)	NY.GDP.PCAP.CD	4333,482973	5735,360327	6823,537616	6969,118088	7483,139682	7408,708238	7721,354543	8213,1272	8289,505729	7774,736203	7708,100996	7208,371567	2593,40415	3349,806124	4277,721351	5109,851325	5919,012037	7245,448317	9020,873098	8225,137176	10385,96443	12848,8642	13082,66433	13080,25473	12334,79825	13789,06042	12790,24247	14591,86338	11683,9	10006,14897	
Armenia	ARM	GDP per capita (current US$)	NY.GDP.PCAP.CD	637,8546595	590,1210473	369,6326166	357,2032777	400,5152381	456,3750487	504,0585594	523,283068	609,1724375	597,4325147	622,7421391	694,4232277	783,2406986	930,1273219	1191,91902	1643,753029	2158,143697	3139,277499	4010,857243	2994,342544	3218,372707	3525,804747	3681,857456	3838,185801	3986,231624	3607,296697	3591,829276	3914,501268	4220,49	4622,733493	
Australia	AUS	GDP per capita (current US$)	NY.GDP.PCAP.CD	18211,27459	18821,47739	18569,81275	17634,25635	18046,02024	20319,63063	21861,32551	23468,59683	21318,96417	20533,03506	21679,24784	19490,86111	20082,48327	23447,031	30430,67644	33999,24286	36044,92281	40960,05449	49601,65671	42772,35917	52022,1256	62517,83375	68012,1479	68150,10704	62510,79117	56755,72171	49971,13146	54066,47127	57395,9	54907,10191	
Austria	AUT	GDP per capita (current US$)	NY.GDP.PCAP.CD	21680,98969	22410,91174	24880,16407	24081,52781	25646,70066	30325,84958	29809,07677	26705,4786	27361,87511	27174,29716	24564,45829	24537,51426	26401,74546	32222,89724	36821,52147	38403,13388	40635,28182	46855,77175	51708,76575	47963,1794	46858,04327	51374,95841	48567,69529	50716,70871	51717,49594	44178,04738	45237,80509	47549,07904	51525	50277,27509	
Azerbaijan	AZE	GDP per capita (current US$)	NY.GDP.PCAP.CD	1237,324492	1209,237493	676,1515115	529,8136618	436,216869	397,1981161	409,2107552	505,5637747	561,9070354	573,8932966	655,0974326	703,6838434	763,080638	883,6439965	1045,009379	1578,40239	2473,081819	3851,437869	5574,603802	4950,294791	5842,805784	7189,691229	7496,294648	7875,756953	7891,313147	5500,310382	3880,738731	4147,089716	4739,84	4793,58702	
Burundi	BDI	GDP per capita (current US$)	NY.GDP.PCAP.CD	208,1467554	209,7778979	190,489014	161,8875529	156,8123012	167,0989158	143,4023001	158,9146699	144,493064	128,9390833	136,4639708	134,3634475	123,117628	113,5673664	128,3366128	151,6814634	167,3764845	172,4958599	198,3529006	212,1368804	234,2356469	249,5779794	252,3589799	256,9760028	274,8579479	305,5497728	282,1931304	292,9976307	271,752	261,2474725	
Belgium	BEL	GDP per capita (current US$)	NY.GDP.PCAP.CD	20600,37525	21041,66064	23372,61913	22283,93601	24208,55484	28413,82644	27489,55518	24820,93805	25338,44329	25244,27505	23041,53473	22995,15752	24887,56133	30587,66841	35364,37533	36795,97688	38672,70594	44262,896	48106,89292	44583,54481	44141,87814	47348,52502	44673,11588	46744,66254	47700,54036	40991,80814	41998,33575	44288,50804	47491,3	46116,69923	
